Fundo,Modulo,Velocidad,Anio,Semana_de_cosecha,Semana_de_empaque,Fecha_de_cosecha,Etapa, Resultado, Humedad_relativa, Temperatura_minima, Temperatura_maxima, Radiacion_solar_maxima, Radiacion_solar
Arato,4,31,2021,34,34,27/08/2021,Recepcion(R=30),30,85.08,13.70,22.50,871,5716
Arato,4,31,2021,34,34,27/08/2021,Terminado(PT=125),156,85.08,13.70,22.50,871,5716
Arato,4,31,2021,34,34,28/08/2021,Campo(C=8),24,85.08,12.60,23.60,831,5772
Arato,4,31,2021,34,34,28/08/2021,Recepcion(R=30),21,85.08,12.60,23.60,831,5772
Arato,4,31,2021,34,34,28/08/2021,Terminado(PT=125),184,85.08,12.60,23.60,831,5772
Arato,4,31,2021,35,35,30/08/2021,Campo(C=8),32,86.71,14.30,23.80,878,5152
Arato,4,31,2021,35,35,30/08/2021,Recepcion(R=30),34,86.71,14.30,23.80,878,5152
Arato,4,31,2021,35,35,30/08/2021,Terminado(PT=125),123,86.71,14.30,23.80,878,5152
Arato,4,31,2021,35,35,01/09/2021,Campo(C=8),24,88.71,13.10,22.20,876,4502
Arato,4,31,2021,35,35,01/09/2021,Recepcion(R=30),22,88.71,13.10,22.20,876,4502
Arato,4,31,2021,35,35,01/09/2021,Terminado(PT=125),108,88.71,13.10,22.20,876,4502
Arato,4,31,2022,20,20,20/05/2022,Campo(C=8),9,85.29,14.11,22.77,746,4620
Arato,4,31,2022,20,20,20/05/2022,Recepcion(R=30),26,85.29,14.11,22.77,746,4620
Arato,4,31,2022,20,20,20/05/2022,Terminado(PT=125),279,85.29,14.11,22.77,746,4620
Arato,4,32,2021,34,34,23/08/2021,Campo(C=8),39,86.50,14.20,21.00,821,4383
Arato,4,32,2021,34,34,23/08/2021,Recepcion(R=30),30,86.50,14.20,21.00,821,4383
Arato,4,32,2021,34,34,23/08/2021,Terminado(PT=125),154,86.50,14.20,21.00,821,4383
Arato,4,33,2021,29,29,21/07/2021,Campo(C=8),30,88.79,14.40,22.80,660,2619
Arato,4,33,2021,29,29,21/07/2021,Recepcion(R=30),43,88.79,14.40,22.80,660,2619
Arato,4,33,2021,29,29,21/07/2021,Terminado(PT=125),92,88.79,14.40,22.80,660,2619
Arato,4,33,2021,35,35,02/09/2021,Campo(C=8),38,85.71,12.30,24.50,869,5483
Arato,4,33,2021,35,35,02/09/2021,Recepcion(R=30),24,85.71,12.30,24.50,869,5483
Arato,4,33,2021,35,35,02/09/2021,Terminado(PT=125),128,85.71,12.30,24.50,869,5483
Arato,4,33,2022,35,35,31/08/2022,Recepcion(R=30),61,85.63,12.80,22.00,774,5037
Arato,4,33,2022,35,35,31/08/2022,Terminado(PT=125),165,85.63,12.80,22.00,774,5037
Arato,4,34,2022,35,35,30/08/2022,Campo(C=8),13,89.88,11.20,20.40,700,3563
Arato,4,34,2022,35,35,30/08/2022,Recepcion(R=30),44,89.88,11.20,20.40,700,3563
Arato,4,34,2022,35,35,30/08/2022,Terminado(PT=125),162,89.88,11.20,20.40,700,3563
Arato,4,35,2021,24,24,16/06/2021,Campo(C=8),26,86.67,15.10,25.20,668,4027
Arato,4,35,2021,24,24,16/06/2021,Recepcion(R=30),48,86.67,15.10,25.20,668,4027
Arato,4,35,2021,24,24,16/06/2021,Terminado(PT=125),174,86.67,15.10,25.20,668,4027
Arato,4,35,2022,21,21,23/05/2022,Campo(C=8),9,84.29,12.77,23.00,734,5050
Arato,4,35,2022,21,21,23/05/2022,Recepcion(R=30),39,84.29,12.77,23.00,734,5050
Arato,4,35,2022,21,21,23/05/2022,Terminado(PT=125),200,84.29,12.77,23.00,734,5050
Arato,4,36,2021,34,34,26/08/2021,Campo(C=8),31,89.08,14.20,20.30,788,3212
